player,nationality,position,age,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,matches,team
Bernd Leno,de GER,GK,27,30,30,"2,649",39,1.33,147,110,.776,9,13,8,7,23.3,7,6,1,0,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,9,8,771,9,1.05,42,33,.810,5,1,2,3,37.5,1,1,0,0,Matches,Arsenal
Tom Heaton,eng ENG,GK,33,20,20,"1,794",35,1.76,99,67,.677,6,3,11,4,20.0,3,3,0,0,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12,12,"1,080",20,1.67,50,32,.640,3,3,6,2,16.7,3,2,1,0,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,7,5,539,12,2.00,26,14,.538,0,2,3,1,20.0,0,0,0,0,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,1,1,7,0,0.00,0,0,,0,0,1,0,0.0,0,0,0,0,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37,37,"3,330",62,1.68,177,120,.678,9,7,21,5,13.5,6,5,1,0,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1,1,90,3,3.00,5,2,.400,0,0,1,0,0.0,0,0,0,0,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38,38,"3,420",54,1.42,164,114,.683,9,14,15,9,23.7,2,2,0,0,Matches,Brighton
Nick Pope,eng ENG,GK,27,38,38,"3,420",50,1.32,159,112,.711,15,9,14,15,39.5,5,4,1,0,Matches,Burnley
Kepa Arrizabalaga,es ESP,GK,24,33,33,"2,970",47,1.42,99,55,.545,18,4,11,8,24.2,2,2,0,0,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5,5,450,7,1.40,16,10,.563,2,2,1,1,20.0,0,0,0,0,Matches,Chelsea
Vicente Guaita,es ESP,GK,32,35,35,"3,150",42,1.20,147,106,.714,11,9,15,10,28.6,1,0,0,1,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3,3,270,8,2.67,22,14,.636,0,1,2,0,0.0,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38,38,"3,420",56,1.47,145,95,.634,13,10,15,9,23.7,4,3,0,1,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38,38,"3,420",41,1.08,126,95,.738,18,8,12,13,34.2,10,8,2,0,Matches,Leicester City
Alisson,br BRA,GK,26,29,29,"2,543",23,0.81,79,58,.722,23,3,3,13,44.8,1,1,0,0,Matches,Liverpool
Adrián,es ESP,GK,32,11,9,875,10,1.03,28,17,.643,9,0,0,2,22.2,0,0,0,0,Matches,Liverpool
Ederson,br BRA,GK,25,35,35,"3,071",28,0.82,92,65,.728,24,3,8,16,45.7,3,3,0,0,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,4,3,347,7,1.82,15,8,.533,2,0,1,1,33.3,0,0,0,0,Matches,Manchester City
David de Gea,es ESP,GK,28,38,38,"3,420",36,0.95,125,92,.736,18,12,8,13,34.2,3,3,0,0,Matches,Manchester Utd
Martin Dúbravka,sk SVK,GK,30,38,38,"3,420",58,1.53,190,134,.705,11,11,16,11,28.9,2,2,0,0,Matches,Newcastle Utd
Tim Krul,nl NED,GK,31,36,36,"3,240",68,1.89,189,123,.656,5,6,25,5,13.9,5,3,2,0,Matches,Norwich City
Michael McGovern,nir NIR,GK,35,2,1,159,6,3.40,11,5,.455,0,0,1,0,0.0,1,0,1,0,Matches,Norwich City
Ralf Fährmann,de GER,GK,30,1,1,21,1,4.29,1,1,1.000,0,0,1,0,0.0,1,1,0,0,Matches,Norwich City
Dean Henderson,eng ENG,GK,22,36,36,"3,240",33,0.92,129,97,.752,14,11,11,13,36.1,3,1,1,1,Matches,Sheffield Utd
Simon Moore,eng ENG,GK,29,2,2,180,6,3.00,12,6,.500,0,1,1,0,0.0,0,0,0,0,Matches,Sheffield Utd
Alex McCarthy,eng ENG,GK,29,28,28,"2,520",35,1.25,110,77,.691,13,5,10,7,25.0,2,1,1,0,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10,10,900,25,2.50,53,30,.566,2,2,6,2,20.0,2,2,0,0,Matches,Southampton
Hugo Lloris,fr FRA,GK,32,21,21,"1,807",21,1.05,93,74,.796,11,6,4,6,28.6,3,2,1,0,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,18,17,"1,613",26,1.45,79,56,.709,5,5,7,2,11.8,4,3,1,0,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38,38,"3,420",64,1.68,166,109,.663,8,10,20,9,23.7,9,8,1,0,Matches,Watford
Łukasz Fabiański,pl POL,GK,34,25,25,"2,117",34,1.45,98,69,.684,8,7,10,5,20.0,4,3,1,0,Matches,West Ham
Roberto,es ESP,GK,33,8,7,687,17,2.23,51,36,.686,0,1,6,0,0.0,1,1,0,0,Matches,West Ham
David Martin,eng ENG,GK,33,5,4,436,6,1.24,20,14,.700,2,0,2,2,50.0,0,0,0,0,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2,2,180,5,2.50,9,5,.556,0,1,1,0,0.0,1,1,0,0,Matches,West Ham
Rui Patrício,pt POR,GK,31,38,38,"3,420",40,1.05,120,80,.675,15,14,9,13,34.2,3,1,2,0,Matches,Wolves
